crews,popularity,imdb_avgRating
Dharmadjie,0.6,4.7
Dharmendra,0.84,7.4
Dharmendra Sharma,0.6,6.6
Dharmesh Darshan,0.6,4.36
Dhaval Jayantilal Gada,0.6,
Dhea H.P.,0.6,6.0
Dhee,1.3999999999999997,6.25
Dhee Yashwanth,0.6,5.2
Dheeraj Kalwani,0.6,5.400000000000001
Dheeraj Sarna,0.6,5.2
Dhika Fadillah,0.6,6.0
Dhilin Mehta,0.6,5.7
Dhilip Subbarayan,0.6,7.0
Dhiman Ghosh Chaudhury,0.6,5.2
Dhiman Karmakar,0.98,4.8
Dhimitër Anagnosti,0.648,8.5
Dhimitër Xhuvani,1.094,6.7
Dhina,0.6,6.25
Dhirajlal Shah,0.6,5.8
Dhivya Lakshana,0.6,6.2
Dhrubajyoti Phukan,0.6,2.5
Dhrubajyoti Shit,0.98,5.2
Dhruv Dhalla,0.6,8.3
Dhruv Ghanekar,0.6,7.0
Dhvani Bhanushali,0.6,4.0
Di Drew,0.6,4.5
Di Moretti,0.6,6.1
Diamond Ratnababu,0.6,5.1
Diamond Shumsher Rana,0.6,7.8
Dian Lee,0.6,4.8
Dian Said,0.6,6.3
Dian Sasmita,1.4,5.6
Dian Vandecruys,1.094,6.8
Dian Vania Pramudita,0.6,7.8
Diana Benítez,0.6,6.0
Diana Bregman,0.6,6.6
Diana Camargo Buritica,0.6,5.1
Diana Carrasco,0.6,
Diana Cha,0.6,3.5
Diana Cilliers,0.6,5.8
Diana Coelho,0.6,7.0
Diana Dreesen,0.6,6.0
Diana Elbaum,0.6,7.066666666666666
Diana Frei,0.6,7.0
Diana Frey,0.6,7.1
Diana Gollmer,0.6,7.3
Diana Groó,0.6,4.5
Diana Gurgel,0.6,6.6
Diana Karsten,0.6,7.2
Diana Lee Inosanto,0.6,6.6
Diana Leste,0.6,5.1
Diana Lewis,0.6,4.6
Diana Ljungaeus,0.6,7.3
Diana Magnus,0.6,7.3
Diana Marie Wells,1.38,5.6
Diana Metiu,0.6,6.7
Diana Napper,0.6,6.8
Diana Nogueira,0.6,6.0
Diana Noris,1.38,5.133333333333333
Diana Pang,6.162,
Diana Phillips,0.6,6.75
Diana Pokorny,0.741,7.4
Diana Rowan,0.6,7.8
Diana Saade,0.6,6.6
Diana Sedgwick,0.6,
Diana Titaferantta,0.6,6.2
Diana Vasconcellos,0.6,6.4
Diana Wagman,0.6,5.9
Diana Williams,0.6,6.8
Diana Wilson,0.6,7.6
Diana Wyand,0.6,4.6
Diana van de Vossenberg,0.98,4.7
Diane Baratier,0.6,6.028571428571428
Diane Becker,0.6,7.5
Diane Benson,0.6,6.6
Diane Bertrand,1.22,6.1
Diane Boehme,0.6,5.3
Diane Bunch,0.6,6.1
Diane Cailhier,0.6,6.3
Diane Cheklich,0.6,5.2
Diane Cornell,0.828,3.733333333333333
Diane Crespo,0.6,7.3
Diane Dancklefsen,0.6,7.0
Diane Daou,0.6,3.8
Diane Doniol-Valcroze,0.6,4.9
Diane Durant,0.828,5.5
Diane English,0.98,5.0
Diane Fine,0.6,4.533333333333334
Diane Gaidry,1.4,7.0
Diane H. Newman,0.652,5.300000000000001
Diane Heery,0.6,5.25
Diane Howard,1.4,7.2
Diane Isaacs,0.6,5.4
Diane Jacobs,0.98,6.8
Diane Jassem,0.6,6.4
Diane Johnson,0.625,4.9
Diane Karagienakos,0.6,8.1
Diane Keaton,5.929,6.050000000000001
Diane Kirman,0.6,3.4
Diane Kruger,4.717,5.9
Diane Kurys,0.828,5.633333333333333
Diane Lake,0.648,7.4
Diane Lederman,0.6,5.6
Diane Logan,0.6,6.1
Diane McAllen,0.6,7.1
Diane Nabatoff,0.6,6.6
Diane Solomon,0.6,5.4
Diane Warren,0.98,6.8
Diane Weyermann,0.6,7.300000000000001
Dianne Crittenden,1.9600000000000004,5.871428571428572
Dianne Dreyer,1.22,7.016666666666667
Dianne Ensor,0.84,6.0
Dianne Thompson,0.6,8.0
Diao Yi'nan,0.831,6.433333333333334
Diarmid Scrimshaw,0.6,7.7
Diarmuid McKeown,0.6,
Diarmuid de Faoite,0.6,7.3
Diaz Jacobs,0.6,6.5
Dib Lutfi,0.6,6.674999999999999
Dibakar Banerjee,0.6,8.3
Dick Austin,0.6,6.6
Dick Charlton,0.6,1.4
Dick Cho,0.6,6.0
Dick Clement,1.38,6.1499999999999995
Dick Cook,1.094,7.5
Dick Fisher,0.6,4.3
Dick Hansen,0.6,6.4
Dick King-Smith,1.021,6.4
Dick Lau Tik-Chi,2.302,4.9
Dick Lowry,1.388,4.6
Dick Maas,0.6,6.65
Dick Naastepad,0.6,7.1
Dick Pope,0.6,6.933333333333333
Dick Reade,0.6,8.0
Dick Rude,0.6,7.9
Dick Sto. Domingo,0.6,5.1
Dick Tung Wai-Keung,0.6,6.2
Dick Whyte,0.6,8.0
Dick Ziker,1.9600000000000004,6.425
Dickey Beer,0.98,4.4
Dickilyn Johnson,0.6,5.5
Dickon Hinchliffe,0.6,6.550000000000001
Dickon Stainer,0.6,7.1
Dicky Dahl,0.6,7.6
Dida Diafat,1.164,6.2
Diderot,0.6,6.6
Didi Danquart,0.6,6.1
Didi Gnocchi,0.6,7.0
Didi Oliveira,0.6,6.7
Didier Bourdon,2.562,5.125
Didier Brunner,0.6,6.933333333333334
Didier Caron,0.6,4.5
Didier Carteron,0.6,7.0
Didier Daeninckx,0.6,5.7
Didier Decoin,0.6,7.0
Didier Dorant,0.6,6.8
Didier Doussin,0.6,7.7
Didier Haudepin,0.728,6.7
Didier Le Pêcheur,1.38,7.1
Didier Lejeune,0.6,6.1
Didier Lepêcheur,0.6,6.1
Didier Levy,0.828,5.6
Didier Lozahic,0.6,6.033333333333334
Didier Martiny,0.656,5.0
Didier Muenza,0.6,7.0
Didier Naert,0.6,2.7
Didier Poiraud,0.6,5.4
Didier Rachou,0.6,5.8
Didier Ranz,0.6,7.15
Didier Rouget,0.6,7.7
Didier Tronchet,0.6,5.6
Didier Van Cauwelaert,1.128,6.3
Didier de Keyser,0.6,5.7
Didin Ciparay,0.6,6.0
Didin Syamsudin,0.6,6.6
Diego Abatantuono,1.542,4.1
Diego Amodio,0.6,4.6
Diego Arizmendi,0.6,6.5
Diego Arroyo,0.6,8.2
Diego Astorga,0.6,7.7
Diego Ayala,0.6,6.4
Diego Azulay,0.828,7.0
Diego Baldenweg,0.6,6.65
Diego Ball,0.6,
Diego Bonacina,0.6,6.3
Diego Braconi,0.6,
Diego Brosset,0.6,6.6
Diego Castillo,0.6,7.1
Diego Cavallo,0.6,6.6
Diego Cestino,0.6,4.65
Diego D'Innocenzo,0.6,7.0
Diego De Silva,0.84,6.733333333333334
Diego Dubcovsky,0.6,5.95
Diego Dussuel,0.6,6.9
Diego Escobar,0.6,
Diego Fischerman,0.6,
Diego Fleischer,0.6,5.9
Diego Flores,0.6,6.7
Diego Fontecilla,0.6,6.2
Diego Frenkel,0.6,6.1
Diego Galán,0.6,7.7
Diego García,0.6,
Diego García de Zuñiga Pedrosa,0.6,7.0
Diego Garzon,1.4,6.6
Diego Gat,0.6,6.35
Diego Gonzalez Cid,0.6,6.6
Diego Grimblat,0.6,5.5
Diego Guebel,0.6,7.1
Diego Herberg,0.6,6.9
Diego Izquierdo,0.6,4.6
Diego J. Arancibia,0.6,3.7
Diego Kaplan,0.6,5.9
Diego Lajst,0.6,8.0
Diego Lerendegui,0.6,7.4
Diego Lerman,0.778,6.3
Diego Levy,0.6,6.8
Diego Lublinsky,0.6,5.7
Diego Luna,2.165,5.300000000000001
Diego Luzuriaga,0.6,5.7
Diego López Calvin,0.6,6.4
Diego Macho Gómez,0.6,5.9
Diego Mancino,0.6,5.2
Diego Mapa,0.6,7.1
Diego Martinez Rodriguez,0.6,5.4
Diego Martínez Ulanosky,0.6,7.4
Diego Martínez Vignatti,0.6,6.266666666666666
Diego Marx Dobles,0.828,6.0
Diego Mas Trelles,0.6,6.7
Diego Mendizábal,0.6,7.4
Diego Monk,0.6,5.566666666666666
Diego Moustapha Ngarade,0.6,6.6
Diego Musiak,0.6,6.9
Diego Olivares,0.6,
Diego Orendain,0.6,7.1
Diego Padilla,0.6,8.7
Diego Poleri,0.694,6.6
Diego Rafecas,0.6,6.7
Diego Ribon,1.094,5.8
Diego Rivera,0.6,4.2
Diego Romero,0.6,6.2
Diego Ronsisvalle,0.6,3.2
Diego Rísquez,0.6,6.2
Diego S. Staub,0.6,6.4
Diego Schiavo,0.6,
Diego Troya,0.6,7.4
Diego Vainer,0.6,6.8
Diego Valenzuela,0.6,5.75
Diego Vega Vidal,0.98,7.1
Diego de la Texera,1.4,7.0
Diego Álvarez,0.6,4.3
Dieguillo Fernández,0.6,5.9
Dien van Straalen,0.6,6.5
Diet Schütte,0.6,6.3
Dieter Bongartz,0.6,7.2
Dieter Busch,0.84,6.0
Dieter Deventer,0.6,6.9
Dieter Diependaele,0.98,6.65
Dieter Fahrer,0.6,5.5
Dieter Lengacher,0.6,7.25
Dieter Meyer,0.6,6.949999999999999
Dieter Pichler,0.6,6.3
Dieter Pochlatko,0.6,6.449999999999999
Dieter Schleip,0.6,6.466666666666666
Dieter Stempnierwsky,0.6,6.05
Dieter Tempel,0.6,3.4
Dieter Van der Eecken,0.6,7.0
Dieter Vanderbeke,0.6,7.0
Dieter Wellershoff,0.6,5.6
Diethard Prengel,0.6,5.35
Dietmar Güntsche,0.6,6.466666666666666
Dietmar Haupt,1.38,7.6
Dietmar Kraus,0.6,6.6
Dietmar Lyssy,0.6,
Dietmar Post,0.6,8.2
Dietrich Brüggemann,0.6,6.0
Digital Depot,0.6,7.8
Digna Sinke,0.6,5.3
Digpal Lanjekar,0.6,8.4
Digvijay Singh,0.6,7.0
Dik-man Lai,0.6,5.9
Dil Raju,1.1199999999999999,6.9
Dila Tecimer,0.6,6.5
Dilawar Singh Rana,0.6,5.8
Dileep,0.8379999999999999,7.140000000000001
Dileep Edapatta,0.6,6.0
Dileep Nath,0.6,4.5
Dileep Shukla,0.6,6.3
Diler Trindade,0.6,3.55
Dilip Chakravarthy,0.6,
Dilip Kotalgi,0.6,4.2
Dilip Mehta,0.6,7.7
Dilip Rawal,0.6,6.5
Dilip Shankar,1.38,7.3
Dilip Shukla,0.6,3.8499999999999996
Dilip Varma,0.6,
Dilip Waghle,0.6,6.1
Dilkhush Doshi,0.6,3.8
Dima Ballin,0.6,7.8
Dimal Dennis,0.6,4.9
Dimas Aji,0.6,6.1
Dimas Djayadiningrat,2.22,6.38
Dimas Kris Batara,0.6,6.7
Dimas Wibisana,0.6,7.8
Dimitar Gochev,0.6,6.8
Dimitar Nikolov-Taki,0.6,6.1
Dimitar Petkov,0.6,6.85
Dimiter Doichinov,1.788,6.3
Dimitra Drakopoulou,0.6,5.7
Dimitri Capuani,0.98,6.1
Dimitri Ellerington,0.6,
Dimitri Foresta,0.6,6.6
Dimitri Karakatsanis,0.6,6.0
Dimitri Levas,0.6,6.5
Dimitri Logothetis,2.92,3.7
Dimitri Merkoulov,1.389,5.3999999999999995
Dimitri Pas,0.6,4.9
Dimitri Repanis,0.6,5.8
Dimitri Sassone,0.6,3.8
Dimitri Tejero,0.6,
Dimitri Toscas,0.6,6.0
Dimitri de Clercq,0.6,6.25
Dimitri de Perrot,0.6,7.8
Dimitrije Joković,0.6,6.7
Dimitrije Vojnov,1.96,5.1
Dimitrios Yatzouzakis,0.6,3.7
Dimitris Athanitis,0.6,6.9
Dimitris Gerpinis,0.6,6.8
Dimitris Hatzivogiatzis,0.6,5.4
Dimitris Horianopoulos,0.6,6.9
Dimitris Indares,0.6,5.4
Dimitris Katsaitis,0.6,6.500000000000001
Dimitris Koliodimos,0.6,2.6
Dimitris Kollatos,0.6,4.1
Dimitris Kontopoulos,0.6,5.6
Dimitris Kordelas,0.6,7.2
Dimitris Koutalis,0.6,4.8
Dimitris Koutsiambasakos,0.6,6.6
Dimitris Nollas,0.6,6.6
Dimitris Nomikos,0.6,4.8
Dimitris Panayiotatos,0.6,5.2
Dimitris Spyrou,0.6,6.3
Dimitris Vernicos,0.6,4.4
Dimitry Elyashkevich,1.397,6.8
Dimitry Haulet,0.6,6.05
Dina Farouk,0.6,7.1
Dina Goldman,0.608,6.0249999999999995
Dina Khreino,0.6,7.3
Dina L. Margolin,1.4,5.65
Dina Lipton,0.6,5.2
Dina Mann,0.6,6.7
Dina Sliwiak,1.094,6.166666666666667
Dina Zvi-Riklis,0.6,6.4
Dinah Collin,0.6,5.9
Dinara Zhumagaliyeva,0.6,5.1
Dindo Perez,0.6,7.220000000000001
Dinesh Gandhi,0.6,5.2
Dinesh Kannan,0.6,5.8
Dinesh Ketelsen,0.6,7.1
Dinesh Kumar,0.6,5.733333333333333
Dinesh Manoharan,0.6,
Dinesh Pallath,0.6,7.0
Dinesh Ponraj,0.6,3.0
Dinesh Solanki,0.6,4.85
Dinesh Subbarayan,0.6,
Dinesh Vijan,0.6,
Ding Achacoso,1.4,6.5
Ding Sheng,0.6,6.1
Ding Yinnan,0.6,7.5
Dingdong Dantes,1.62,4.8
Dinko Tucaković,0.6,8.6
Dinno Erece,0.6,5.4
Dino De Laurentiis,1.6200000000000003,6.166666666666667
Dino Di Dionisio,0.6,7.5
Dino Dimuro,1.094,7.2
Dino Gentili,0.6,6.35
Dino Gervasoni,0.6,6.6
Dino Giancola,0.6,4.1
Dino Ladki,0.6,5.45
Dino Mustafić,0.6,7.6
Dino Parks,1.38,5.659999999999999
Dino Stamatopoulos,1.164,3.4
Dinos Chapman,0.6,
Dinos Giotis,0.6,4.4
Dinos Katsouridis,0.6,5.7
Dinos Kittou,0.6,6.9
Dinos Vamvakoussis,0.6,4.8
Dinshaw Gobhai,0.6,7.7
Dinu Tănase,1.4,7.0
Diogenes Mendonça,0.6,5.5
Diogo Dahl,0.6,5.9
Diogo Gomes dos Santos,0.6,
Diogo Lopes,0.694,4.3
Diogo Varela Silva,0.6,7.9
Diomédio Piskator,0.6,
Dion Beebe,0.9850000000000001,6.362499999999999
Dion Lam,1.22,5.6
Diones Camargo,0.6,6.1
Dionisio Pérez,0.6,6.15
Dionne Pitsikoulis,0.6,6.6
Dionne Wynn,0.98,5.3
Dionysis Fotopoulos,0.656,5.333333333333333
Dionysis Grigoratos,0.6,4.2
Dionysis Haritopoulos,0.6,5.0
Dionysius Zervos,0.6,6.2
Dionyssis Samiotis,0.6,6.5
Dipa De Motwane,0.6,7.4
Dipak Mandal,0.6,
Dipak Mondal,0.6,
Dipika Kalra,0.694,7.8
Dipika Lal,0.6,5.65
Dipti Jindal,0.6,3.9
Dirk Ahner,1.048,4.95
Dirk Beinhold,0.6,6.0
Dirk Beliën,0.6,5.3
Dirk Benedict,1.34,5.9
Dirk Blackman,1.166,5.466666666666666
Dirk Brüel,0.6,7.6
Dirk Eichler,0.98,8.2
Dirk G. Engelhardt,0.6,6.4
Dirk Grau,0.6,6.449999999999999
Dirk Hagen,0.6,4.4
Dirk Impens,0.6,5.9
Dirk Jacob,0.6,6.575
Dirk Jan Weijers,0.6,5.9
Dirk K. van den Berg,0.6,6.6
Dirk Kurbjuweit,0.6,6.5
Dirk Leupolz,0.98,5.0
Dirk Lisowsky,0.6,4.449999999999999
Dirk Niemeier,0.6,7.0
Dirk Noort,0.6,6.7
Dirk Oetelshoven,0.6,7.3
Dirk Plamböck,0.6,7.7
Dirk Rijneke,0.6,7.6
Dirk Seliger,0.6,7.7
Dirk Shafer,0.6,5.7
Dirk Skycaper,1.38,6.5
Dirk Stermann,0.6,7.0
Dirk Stoppe,0.6,7.7
Dirk Uhlig,0.6,7.2
Dirk Vaihinger,0.6,6.5
Dirk Van Fleet,0.6,4.0
Dirk Van Rampelbergh,0.6,7.1
Dirk Westervelt,0.6,7.2
Dirk Wilutzky,0.6,5.8
Dirk Wittenborn,0.6,6.5
Dirk Zeelenberg,0.98,6.7
Dirtradio,0.6,4.8
Disco D,0.6,7.3
Disha Zhang,0.6,5.5
District 78,0.6,4.1
Dito Montiel,0.63,6.3
Dito Tsintsadze,0.6,6.880000000000001
Ditoy Aguila,0.6,6.6
Ditsi Carolino,0.6,8.4
Divakara Thiyagarajan,0.6,6.2
Divi Crockett,0.6,6.6
Divina Kuan Hasselmann,0.6,6.5
Diviš Marek,0.6,6.62
Divya Khosla Kumar,1.08,4.9
Divya Kumar,0.6,2.4
Divya S. Menon,0.6,5.7
Divya Vangani,0.6,4.5
Divyang Thakkar,0.6,
Divyank Dubey,0.6,2.3
Diwa de Leon,0.6,6.0
Diwakar,0.6,3.4
Diwakar P Bhonsle,0.6,5.3
Dixie Chassay,1.008,7.8
Dixie Chicks,0.6,7.6
Dixie Linder,0.6,7.5
Diyah Pera,0.6,5.8
Dizzy Giant,0.6,8.0
Djaduk Ferianto,0.6,7.3
Djamel Bensalah,0.6,4.533333333333333
Djamila Ameur-Zaïmeche,0.6,6.7
Djamila Hansen,0.6,6.5
Djamila Sahraoui,0.6,6.4
Djanina Baykoucheva,0.6,6.7
Djarot Bintoro,0.6,6.2
Djenar Maesa Ayu,0.84,4.9
Djie Tjianan,0.6,7.6
Djina Ginzburg,0.6,6.8
Djinn,0.6,5.3
Djuna Bel,0.6,6.1
Dmitri Amossenko,0.6,7.2
Dmitri Funtikov,0.6,3.4
Dmitri Kotov,0.6,5.6
Dmitri Pavlov,0.6,7.8
Dmitri Solovyov,0.6,7.3
Dmitriy Astrakhan,0.7280000000000001,5.75
Dmitriy Karnachik,0.6,5.9
Dmitriy Kasyan,0.6,6.8
Dmitriy Kharatyan,0.6,6.0
Dmitriy Konstantinov,1.473,7.4
Dmitriy Korobkin,0.6,5.5
Dmitriy Kurlyandskiy,0.6,5.2
Dmitriy Lesnevskiy,0.6,7.6
Dmitriy Sobolev,0.6,5.2
Dmitriy Tarasenko,0.98,6.300000000000001
Dmitriy Troitskiy,0.6,6.1
Dmitriy Yashonkov,0.6,3.2
Dmitriy Zverkov,0.6,6.15
Dmitry Andreev,0.6,6.65
Dmitry Dobuzhinsky,0.6,5.9
Dmitry Fiks,0.7005,5.675
Dmitry Glukhovsky,1.4,6.7
Dmitry Ivanov,0.6,6.0
Dmitry Ivlev,1.38,5.1
Dmitry Kaif,0.6,
Dmitry Klepatski,0.6,7.5
Dmitry Kliminov,0.6,4.1
Dmitry Lesnevsky,0.6,8.0
Dmitry Litvinenko,0.6,5.4
Dmitry Malich,0.6,6.8
Dmitry Malyshkin,0.6,5.8
Dmitry Merezhkovski,0.6,6.8
Dmitry Meskhiev,0.828,6.125
Dmitry Mishin,0.6,6.7
Dmitry Rubin,0.6,6.8
Dmitry Rudovsky,0.828,5.75
Dmitry Shadrin,0.6,7.3
Dmitry Shlykov,0.6,5.2
Dmitry Slobtsov,0.6,5.483333333333333
Dmitry Sobolev,0.6,5.3
Dmitry Troitsky,0.6,6.1
Dmitry Ukhanov,0.6,4.5
Dmitry Vainshtein,0.6,2.8
Dmitry Vorobiev,0.6,6.3
Dmitry Yakunin,0.6,4.1
Do Bich Thuy,0.6,6.8
Do Hong Quan,0.6,7.0
Do Sang-hyun,0.6,5.7
Do Young-hoon,0.6,7.2
Do-hyeok Kim,0.6,6.1
Do-soo Song,0.6,4.7
Dobromir Nikolov,0.6,3.1
Dobrynya Morgachev,0.6,6.2
Doc Comparato,1.4,5.5
Doc Crotzer,0.6,8.7
Doc Duhame,1.38,5.7
Dode Cruz,0.84,4.9
Dodge Ledesma,0.6,5.8
Dodi Khan,0.6,5.9
Dodi Shoeuer,0.6,6.8
Dodie Smith,0.6,6.9
Dody Dorn,0.828,6.0
Doesjka van Hoogdalem,0.6,5.5
Dog Fashion Disco,0.6,5.2
Doina Jela,0.6,7.6
Doina Levintza,0.6,8.1
Dolina MacFarlane,0.98,6.1
Dolina MacLennan,0.6,
Dolkamol Sattatip,0.6,7.9
Dolly Ahluwalia,0.6,6.2
Dolly Dulu,0.6,6.6
Dolly Greene,0.6,5.3
Dolly Hall,0.6,5.35
Dolly Hernandez,0.6,5.6
Dolly Marascalco,0.6,5.6
Dolly Parton,3.469,5.3
Dolor Guevarra,0.6,6.7
Dolores Bengolea,0.6,6.0
Dolores Damas,0.6,5.9
Dolors Company,0.6,4.1
Dolph Lundgren,8.33,5.2
Dolphy,1.686,6.9
Dom Magwili,0.84,3.8
Dom Rotheroe,0.728,6.45
Dom Whitworth,0.6,7.1
Domagoj Pavic,0.6,6.1
Domas Petronis,0.6,3.7
Domas Vilcinskas,0.6,5.4
Dome Karukoski,1.562,6.7
Domenic Romano,0.6,7.3
Domenic Siclari,0.6,4.8
Domenico Blass,0.6,5.9
Domenico Caiuli,0.6,7.1
Domenico Emanuele de Feudis,0.98,4.7
Domenico Mezzatesta,0.6,6.7
Domenico Procacci,1.2199999999999998,6.66190476190476
Domenico Scarlatti,0.6,6.8
Domenico Sica,1.7,6.300000000000001
Domenico Starnone,0.694,6.08
Domi Parra,0.6,4.95
Domingo Stephan,0.6,
Domingo Vara,0.6,6.0
Domingos Folque Guimaraes,0.6,6.2
Domingos de Oliveira,0.828,6.975
Dominic Anciano,0.6,6.5
Dominic Bilkey,0.6,9.2
Dominic Black,0.6,8.5
Dominic Ciofalo,0.6,5.6
Dominic DeJoseph,0.6,8.6
Dominic Denny,0.6,5.2
Dominic Desjardins,0.6,
Dominic Eames,0.6,6.3
Dominic Gregoria,0.6,4.1
Dominic Harari,0.6,6.833333333333333
Dominic Lees,0.6,5.4
Dominic Leung,0.6,7.4
Dominic Leyton,0.98,5.9
Dominic Muldowney,0.6,7.6
Dominic Murphy,0.6,7.1
Dominic Ottersbach,0.98,7.8
Dominic Pereira,0.6,7.8
Dominic Sangma,0.6,
Dominic Savage,1.96,6.9
Dominic Sena,1.031,5.95
Dominic Siwik,0.6,7.4
Dominic Tuohy,1.167,6.0
Dominic Wright,0.6,6.75
Dominic Zapata	,0.6,6.25
Dominick Balletta,0.6,
Dominick Tambasco,0.6,6.75
Dominik Alber,0.6,5.6
Dominik Bechtel,0.6,7.75
Dominik Graf,0.6,6.6000000000000005
Dominik Hauser,0.6,5.8
Dominik Kaiser,0.6,3.5
Dominik Lange,0.6,4.5
Dominik Matwiejczyk,0.6,4.5
Dominik Miškovský,0.6,8.2
Dominik Moll,1.3999999999999997,6.933333333333334
Dominik Reding,0.6,6.1
Dominik Scherrer,0.6,6.5
Dominik Sedlar,0.6,6.166666666666667
Dominik Trimborn,0.6,7.3
Dominik Zubel,0.6,7.8
Dominil Bernet,0.6,5.1
Dominique Abel,0.728,6.8
Dominique Andreani,0.6,5.3
Dominique André,0.6,6.5
Dominique Arcé,0.6,7.4
Dominique Attal,0.828,7.6
Dominique Auvray,0.6,6.92
Dominique Barneaud,0.6,6.300000000000001
Dominique Besnehard,0.766,6.9
Dominique Boccarossa,0.6,3.1
Dominique Borrel,0.6,3.4
Dominique Bouilleret,0.6,5.85
Dominique Boutonnat,0.6,6.5
Dominique Brenguier,0.6,7.0
Dominique Brune,0.6,7.8
Dominique Brunner,0.6,7.2
Dominique Buda,0.6,5.3
Dominique Cabrera,0.6,6.25
Dominique Cardona,0.6,5.0
Dominique Champagne,0.6,6.15
Dominique Chapuis,0.6,6.4
Dominique Choisy,0.6,7.5
Dominique Colin,0.6,5.8999999999999995
Dominique Crèvecoeur,0.6,6.3
Dominique Delany,1.094,6.4
Dominique Demers,0.6,6.6
Dominique Deruddere,0.6,6.125
Dominique Douret,0.6,5.9
Dominique Farrugia,1.095,6.366666666666667
Dominique Fauquet-Lemaitre,0.6,6.3
Dominique Faysse,0.6,6.6
Dominique Fortin,0.608,6.6
Dominique Fouassier,0.6,5.9
Dominique Gaborieau,0.6,6.15
Dominique Galliéni,0.6,6.6
Dominique Gentil,0.6,7.033333333333334
Dominique Hennequin,0.652,5.9
Dominique Jann,0.6,7.3
Dominique Janne,0.6,6.4
Dominique LaPierre,0.6,6.1
Dominique Le Rigoleur,0.6,5.7
Dominique Lefever,0.6,6.8
Dominique Lienhard,0.6,5.9
Dominique Loiseau,0.6,7.1
Dominique Mezerette,0.98,6.0
Dominique Milano,0.6,2.3
Dominique Monfery,0.6,5.9
Dominique Mérillon,0.6,5.5
Dominique Petrot,0.6,6.199999999999999
Dominique Piat,0.6,6.2
Dominique Pâris,0.6,6.3
Dominique Renauld,0.6,7.2
Dominique Ricard,0.6,6.5
Dominique Roubaud,0.6,7.1
Dominique Sicotte,0.6,
Dominique Standaert,0.6,6.35
Dominique Telson,0.6,
Dominique Vieillard,0.6,5.699999999999999
Dominique Vinant,0.6,5.2
Dominique Welinski,0.6,6.3
Dominique Wirtschafter,0.6,4.8
Dominique de Rivaz,0.694,6.0
Domitilla Calamai,0.6,7.5
Domitilla Di Pietro,0.6,5.9
Domiziano Cristopharo,0.6,5.1
Domnica Circiumaru,0.728,5.699999999999999
Domnik Mack,0.6,4.1
Domonic Paris,0.98,4.5
Doménica Seminario,0.6,6.4
Don Aaron,0.6,4.5
Don Abernathy,1.094,3.3499999999999996
Don Allen,0.6,4.4
Don Argott,1.159,6.4
Don Ashley,0.828,4.6
Don Askarian,0.6,4.4
Don Barnhart Jr.,0.6,5.8
Don Bixby,0.728,5.6
Don Bohlinger,1.048,6.433333333333334
Don Boyd,0.84,6.5
Don Brochu,0.6,5.3
Don Brown,0.6,6.8
Don Burgess,1.018,6.233333333333333
Don Calame,0.6,5.5
Don Carmody,0.6,5.9399999999999995
Don Carroll,0.6,5.466666666666668
Don Cheadle,9.871,7.033333333333334
Don Coscarelli,0.98,7.0
Don Crum,1.4,6.8
Don Cuaresma,0.6,6.95
Don D. Scott,0.6,6.3
Don Daniel,0.6,3.5
Don Davis,1.048,5.1499999999999995
Don Day,0.6,6.25
Don DiLego,0.6,5.3
Don Diers,0.828,4.8
Don Dingas,0.6,3.6
Don Dohler,0.98,3.5
Don Domino,1.614,4.8
Don Dunn,0.6,3.6
Don E. FauntLeRoy,0.969,4.966666666666667
Don Enright,1.094,4.4
Don Escudero,0.6,6.95
Don Guttenplan,0.6,8.6
Don Haderlein,0.6,9.1
Don Hahn,0.972,6.4
Don Hall,1.614,7.25
Don Harper,0.98,6.3
Don Henry,0.6,3.4
Don Hewitt Jr.,1.3999999999999997,6.666666666666667
Don Horne,0.6,3.3
Don J. Rearden,0.6,3.4
Don James,0.6,5.6
Don Jamieson,0.6,4.4
Don Kempf,0.6,7.5
Don Kurt,0.84,5.625
Don Lake,1.567,6.9
Don Lampasone,0.6,7.2
Don Lee,1.052,5.3
Don Lenzer,0.6,7.133333333333334
Don Letts,0.84,6.95
Don MacAulay,0.84,5.7
Don MacKinnon,1.473,6.4
Don Mancini,2.275,4.8
Don Mann,0.828,6.5
Don Matthew Smith,0.6,6.2
Don Max,0.828,6.0
Don McEnery,0.652,5.2
Don McGlashan,0.6,6.6
Don McGlynn,0.6,7.9
Don McKellar,1.052,6.3
Don McLean,0.6,5.5
Don Michael Paul,3.22,3.8333333333333335
Don Michael Perez,0.6,5.8999999999999995
Don Miller-Robinson,0.6,6.0
Don Money,0.6,5.4
Don Most,1.62,5.1
Don Murphy,0.732,6.9
Don Olson,0.6,6.4
Don Palathara,0.6,8.4
Don Parham,0.6,
Don Payne,2.776,5.8999999999999995
Don Phillips,0.6,6.8
Don Poquette,0.6,4.8
Don Reddy,0.828,5.1
Don Reynolds,0.6,6.3
Don Rhymer,0.613,4.45
Don Roos,1.38,6.3500000000000005
Don Sanders,0.6,7.5
Don Santella,1.932,3.8
Don Scardino,1.332,5.9
Don Schain,0.98,6.325
Don Selwyn,1.048,7.1
Don Shank,0.694,6.6
Don Sikorski,0.6,6.4
Don Swaynos,1.4,6.75
Don Truckey,0.6,5.2
Don Winslow,0.6,5.7
Don Zimmerman,0.6,6.2
Dona Granata,0.84,6.2
Donahue Tuitt,0.6,4.5
Donal Fernandes,0.6,5.8
