crews,popularity,imdb_avgRating
Aaron Yanes,0.6,7.5
Aaron Zigman,0.6519999999999999,6.188235294117648
Aaron pugliese,0.6,4.9
Aarti Bajaj,0.76,7.875
Aarón Borrás,0.6,
Aarón Fernández Lesur,0.6,6.8
Aashish Dwyer,0.6,6.5
Aashish Singh,0.6,6.2
Aatish Kapadia,1.6900000000000002,5.766666666666667
Abanti Chakrabarty,0.6,7.5
Abba Makama,0.6,5.3
Abbas Abbasi,0.6,4.7
Abbas Alibhai Burmawalla,1.4000000000000001,5.733333333333334
Abbas Ben El Abbas,0.6,5.6
Abbas Bolvandi,0.6,
Abbas Ganjavi,0.6,6.75
Abbas Ghazali,0.6,8.1
Abbas Kiarostami,2.741,6.779999999999999
Abbas Rafei,0.6,7.1
Abbas Tabas,0.6,7.4
Abbas Tyrewala,0.6,5.8125
Abbe Wool,1.4,4.1
Abbi Jutkowitz,1.4,7.2
Abbie Conant,0.6,6.8
Abbie Williams,0.6,
Abbs Abdali,0.6,6.2
Abburi Ravi,0.996,7.1499999999999995
Abby Eldipie,0.98,6.2
Abby Epstein,0.694,7.4
Abby Hoyt,0.98,6.9
Abby Kohn,1.4,6.050000000000001
Abdel-Rahim Kamal,0.828,5.0
Abdelaziz Ben Mlouka,0.6,6.5
Abdelkrim Bahloul,0.6,6.4
Abdelkrim Derkaoui,0.6,8.5
Abdellatif Abdelhamid,0.6,6.8
Abdellatif Ben Ammar,0.6,8.4
Abdellatif Chaarani,0.6,7.3
Abdellatif Kechiche,1.3999999999999997,7.1000000000000005
Abdellatif Raïss,0.6,7.6
Abderrahmane Sissako,1.528,6.5600000000000005
Abdolhamid Ghadirian,0.6,7.4
Abdollah Alikhani,0.6,5.5
Abdollah Eskandari,0.6,5.266666666666667
Abdoul Karim Dembélé,0.6,7.3
Abdul Hamid Shaikh,0.6,4.2
Abdul Malik Abbott,0.6,4.5
Abdul O'Toole,0.6,7.2
Abdul Wahid Siddique,0.6,4.0
Abdul Williams,0.6,5.0
Abdulah Sidran,0.656,6.4
Abdullah Al-Eyaf,0.6,7.2
Abdullah Ommidvar,0.6,5.2
Abdullah Oğuz,0.6,5.82
Abe Forsythe,0.766,6.4
Abe Kwong,0.6,6.0
Abe Levy,0.6,7.1
Abe Shainberg,0.6,4.6
Abe Yarou,0.6,5.0
Abe Yepez,0.6,7.0
Abeenraj M.A.,0.6,4.7
Abeille Tard,0.98,6.6
Abel Arcos Soto,0.6,5.7
Abel Facello,0.6,5.9
Abel Ferrara,1.4,5.25
Abel Jazz,0.6,4.8
Abel Korzeniowski,0.828,7.033333333333334
Abel Nahmias,0.828,5.3
Abel Peñalba,0.6,7.3
Abel Ribeiro Chaves,0.6,4.6
Abelardo O. Martínez,0.6,4.1
Abhay Adaka,0.6,6.7
Abhay Chopra,0.6,6.3
Abhay Manusmare,1.4,6.425000000000001
Abhay Sofsky,0.6,8.2
Abhay Sopori,0.6,3.7
Abhigyan Jha,0.6,5.1
Abhijat Joshi,0.6,5.966666666666666
Abhijeet,0.6,4.5
Abhijeet Bhattacharya,0.6,4.525
Abhijeet Khuman,0.609,6.8
Abhijeet Sawant,0.828,3.55
Abhijeet Shirish Deshpande,0.6,5.8
Abhijeet Ubale,0.6,6.6
Abhijit Guha,0.6,6.5
Abhilash Kumar,0.6,8.4
Abhimanyu Mukherjee,0.6,3.8
Abhinav Kashyap,0.6,5.9
Abhineet Christian,0.6,8.2
Abhiram Bhadkamkar,0.6,6.9
Abhishek Arora,0.6,6.3
Abhishek Bachchan,1.594,3.7
Abhishek Banerjee,0.794,7.8
Abhishek Chaubey,0.6,7.45
Abhishek Kapoor,1.176,4.4
Abhishek Ray,0.6,7.0
Abhishek Shah,0.6,8.7
Abhishek Sharma,0.6,5.8
Abhishek Shekhawat,0.6,4.5
Abhishek Vaidya,0.6,5.4
Abhishek Vyas,0.6,5.8
Abi Morgan,0.6,6.6
Abi Parayno,0.6,5.0
Abi Tapia,0.6,7.1
Abid Majid,0.6,7.3
Abida Parveen,0.6,7.1
Abie Prabu,0.6,5.9
Abigail Aguino,0.6,
Abigail Child,0.6,6.0
Abigail Murray,0.6,7.1
Abigail Savage,0.84,7.0
Abigail Shafran,0.6,5.5
Abigail Wright,0.6,7.1
Abir Dutta,0.6,
Abisola Omolade,0.6,
Abner Benaim,0.6,7.1
Abner Prado Tulagan,0.6,
Abolfazl Jalili,0.828,6.7
Abolhassan Davoodi,0.6,7.1
Abood Albadarin,0.6,4.9
Abra Edelman,0.98,4.333333333333333
Abraham B. Jehoshua,0.84,4.1
Abraham Cassis,0.6,6.0
Abraham Cruz,0.6,7.1
Abraham Goldblat,0.6,7.6
Abraham Haile Biru,0.6,6.6
Abraham Lim,0.6,6.3
Abraham Mancilla,0.656,3.8
Abraham Mathew,0.6,7.0
Abraham Ulayuruluk,0.828,6.3
Abril Balderrama,0.6,5.6
Abu Aleeha,0.6,6.3
Abu Sayeed,0.6,7.533333333333334
Abu Thahir,0.6,6.5
Aby Jose,0.6,5.4
Abylay Zhakashov,0.6,4.1
Abílio Leitão,0.6,5.8
Ace Allgood,0.6,7.2
Ace Buckley,0.6,5.6
Ace Cruz,0.6,4.55
Achal Mishra,0.6,7.8
Achero Mañas,0.98,7.45
Achiel Nasrun,0.6,3.0
Achille Bibard,0.6,6.7
Achim Bornhak,0.98,6.5
Achim Burkart,0.6,6.5
Achim Forst,0.6,4.4
Achim Seidel,0.6,6.85
Achim von Borries,0.6,7.033333333333334
Achin R. Lamba,0.6,7.9
Aclan Büyüktürkoğlu,0.6,6.3
Acrassicauda,0.6,7.7
Acácio de Almeida,0.6,6.3500000000000005
Ad Stoop,0.6,6.6
Ada Campbell,0.6,5.1
Ada Frontini,0.6,7.6
Ada Levin,0.6,7.4
Ada Solomon,0.656,6.375
Ada Vertan,0.6,5.8
Adair Dominguez,0.6,5.1
Adalberto Flores,0.6,6.4
Adam 'Tex' Davis,0.6,6.1
Adam Abel,0.6,6.45
Adam Ackland,0.6,4.2
Adam Alleca,0.972,6.5
Adam Anderson,0.98,7.4
Adam Antoniades,0.6,8.8
Adam Bajerski,0.6,7.0
Adam Balazs,0.98,5.25
Adam Baratta,0.6,4.55
Adam Bardach,0.6,8.8
Adam Barth,0.6,5.5
Adam Batz,0.98,5.8
Adam Beck,0.6,5.8
Adam Bhala Lough,0.6,6.166666666666667
Adam Bohling,0.62325,7.15
Adam Bonfanti,0.6,7.0
Adam Boome,0.6,6.9
Adam Breasley,0.6,3.6
Adam Brightman,0.98,6.966666666666666
Adam Brooks,2.617,6.279999999999999
Adam Broughton,0.6,6.7
Adam Browne,0.6,9.2
Adam Carl,2.744,7.4
Adam Carolla,1.252,7.3
Adam Cawley,0.6,6.7
Adam Chan Chung-Tai,0.6,4.55
Adam Clark,0.6,6.8
Adam Cole,0.968,6.4
Adam Coleite,0.6,4.2
Adam Collis,0.6,5.7
Adam Cooper,0.665,5.0
Adam Corey,0.6,8.0
Adam Cozad,1.008,6.2
Adam Crosby,0.6,
Adam DaSilva,0.6,7.2
Adam Dale,0.828,5.9
Adam Daniel,0.6,7.0
Adam Davidson,1.312,6.3
Adam Del Deo,0.6,7.6
Adam Der Aris,0.6,7.4
Adam Dirani,0.6,4.3
Adam Doench,0.608,6.2
Adam Dorn,0.6,7.0
Adam Dubin,0.828,7.6
Adam Dvořák,0.6,5.8
Adam Elliot,0.84,8.1
Adam F. Goldberg,1.092,4.85
Adam Fauzan,0.6,7.2
Adam Fields,0.6819999999999999,5.4
Adam Finch,0.6,6.8
Adam Fleischhacker,0.6,7.4
Adam Fogelson,1.052,5.4
Adam Forgash,0.6,6.3
Adam Friedman,0.6,6.0
Adam Gierasch,1.048,4.3500000000000005
Adam Goldberg,2.366,5.3
Adam Goldworm,0.6,3.7
Adam Golomb,0.6,7.3
Adam Gorgoni,0.9800000000000001,6.18
Adam Green,3.056,6.050000000000001
Adam Griffin,0.6,4.8
Adam Guzinski,0.6,6.3
Adam Hackbarth,0.6,3.6999999999999997
Adam Harrington,0.6,3.3
Adam Haynes,0.6,4.4
Adam Head,0.6,3.3
Adam Heller,0.6,5.5
Adam Hendricks,0.6,7.7
Adam Henry,0.6,6.2
Adam Hochschild,0.6,7.6
Adam Holender,0.6,5.9
Adam Holmes,1.22,6.333333333333333
Adam Hrubý,0.6,7.1
Adam Inglis,0.694,6.9
Adam Jacobo,0.6,7.7
Adam Janeiro,0.6,7.0
Adam Jay Epstein,0.98,4.566666666666666
Adam Jenkins,1.22,6.199999999999999
Adam Jeppesen,0.6,5.4
Adam Johnson,0.6,3.2
Adam Justice Hardy,0.6,3.2
Adam Kane,1.166,5.5600000000000005
Adam Kassen,0.6,5.7
Adam Kerby,0.6,5.6
Adam Kimmel,0.6,6.925
Adam Kreutner,0.6,5.4
Adam Labadie,0.6,5.8
Adam Laiben,0.6,7.2
Adam Lane,0.6,5.6
Adam Langston,0.6,3.4
Adam Lawson,0.98,5.733333333333333
Adam Leda,0.6,5.8
Adam Leipzig,0.6,6.9
Adam Lichtenstein,0.6,6.050000000000001
Adam Linkenhelt,0.6,6.5
Adam MacLean,0.6,5.5
Adam Marcus,1.4,4.6
Adam Marrotte,0.6,4.7
Adam Martin,0.6,4.5
Adam Mason,1.166,4.25
Adam Massey,0.6,6.1
Adam McKay,2.1299999999999994,6.816666666666667
Adam Merims,0.9800000000000001,6.840000000000001
Adam Mervis,0.6,8.9
Adam Meyer,0.608,4.3
Adam Meyerowitz,0.6,2.0
Adam Moreno,0.6,4.3
Adam Morris,0.6,7.0
Adam Nicholls,0.6,5.5
Adam Nielsen,0.648,7.050000000000001
Adam Nordén,0.84,5.844444444444444
Adam O'Brien,1.22,5.1
Adam O'Neill,0.98,4.85
Adam Olson,0.6,3.8
Adam Park,0.6,7.7
Adam Parrish King,0.6,5.4
Adam Pertofsky,0.6,4.2
Adam Philp,0.6,4.2
Adam Pitman,0.6,3.8
Adam Pitra,1.4,4.6
Adam Pollard,0.6,6.2
Adam R. Levine,0.6,8.0
Adam Randall,0.6,
Adam Rapp,0.6,6.199999999999999
Adam Ravetch,0.6,6.9
Adam Rifkin,0.6,5.333333333333333
Adam Ripp,0.6,6.1
Adam Rockoff,0.98,5.1
Adam Rodness,0.694,8.3
Adam Rosenfelt,0.6,5.5
Adam Ross,0.6,5.7
Adam Sanborne,0.6,8.2
Adam Sandler,10.209000000000001,5.572727272727272
Adam Schenck,0.6,6.5
Adam Schlachter,0.6,3.7
Adam Schroeder,0.6,2.9
Adam Schwartz,0.6,3.1
Adam Sear,0.6,7.6
Adam Sejk,0.6,
Adam Severin,0.6,3.6
Adam Shankman,2.25,6.058333333333334
Adam Shell,0.6,6.4
Adam Sherman,1.094,4.55
Adam Shulman,0.694,7.0
Adam Siegel,0.6,5.5
Adam Sikora,1.0,6.35
Adam Silver,1.62,5.3
Adam Simcox,0.6,4.3
Adam Simon,0.6,7.3
Adam Sliwinski,0.6,5.7
Adam Smart,0.6,7.6
Adam Somner,0.98,6.2
Adam Stilwell,0.6,3.8
Adam Sussman,1.38,4.7
Adam Swica,0.828,5.8
Adam Sztykiel,1.156,5.9
Adam Targum,0.6,4.9
Adam Teninbaum,0.6,7.4
Adam Thomas Anderegg,0.6,6.6
Adam Tomlinson,0.6,7.6
Adam Trunell,0.6,6.6
Adam Valdez,1.4,5.8
Adam Voneš,0.6,5.5
Adam Watstein,0.6,5.4
Adam Weis,0.6,3.5999999999999996
Adam Weitner,0.6,8.3
Adam Weppler,0.98,4.6
Adam White,0.98,
Adam Whitton,0.6,5.45
Adam Wierzbianski,1.4,5.5
Adam Willis,0.608,4.65
Adam Wilson,0.6,5.2
Adam Wingard,5.859,4.7
Adam Wolf,0.6,5.6
Adam Wolfensohn,0.6,7.0
Adam Wong,1.96,5.6
Adam Woodbury,1.614,8.05
Adam Yauch,0.677,7.5
Adam Zanders,0.6,6.1
Adam Zucker,0.6,7.6
Adam de la Peña,0.6,3.1
Adamina Jones,0.6,2.9
Adan Jodorowsky,0.6,6.3
Adaora Nwandu,0.6,5.8
Adaora udeh,0.6,
Adar Shafran,0.6,7.1
Adario Strange,0.6,5.7
Adarsh Eshwarappa,0.6,7.4
Adarsh jain,0.6,5.5
Addie MS,0.6,6.6
Addison Binek,0.6,8.9
Addison Henderson,0.6,
Addiss Tabong,0.6,6.574999999999999
Addy McClelland,0.6,4.05
Ade Candra,0.6,
Ade Syafrizal,0.6,7.7
Adekunle Nodash Adejuyigbe,0.6,6.8
"Adel ""Future"" Nur",0.6,5.3
Adel Adelson,0.6,4.8
Adel Al-Khadad,0.6,5.1
Adel Emam,1.609,6.9
Adela Cortázar,0.656,6.525
Adela Ibañez,0.6,3.65
Adela Iriarte,0.6,7.9
Adela Peeva,0.6,7.9
Adelaide Maria Trêpa,0.6,5.9
Adele Bertei-Cecchi,0.6,5.1
Adele Durno,0.6,6.2
Adele Flere,0.6,6.0
Adele Montalvo,0.6,5.6
Adele Plauche,0.828,7.1
Adelina Handuri,0.828,7.1
Adeline Andreea Badescu,0.6,6.8
Adeline Lecallier,0.828,6.2
Adeline Ramalho,0.6,5.8
Adeline Wong,0.6,5.9
Adelle Lutz,1.4,5.1
Adem Keleş,0.6,
Ademar Baptiste,0.6,7.3
Ademir Francisco,0.6,7.0
Ademir Kenović,0.6029999999999999,7.116666666666666
Ades Zabel,0.98,3.75
Adesh Shrivastava,0.607,5.233333333333333
Adhe Dharmastriya,0.6,6.6
Adhi Narayana,0.6,5.1
Adhinan Adulayasis,0.6,6.9
Adhitya Mulya,0.6,7.2
Adi Borkin,0.6,3.8
Adi Mozes,0.6,6.6
Adi Nugroho,0.6,6.85
Adi Shankar,1.4,7.5
Adi Smolar,0.6,4.0
Adia Clark,0.6,
Adil Abdelwahab,0.6,5.9
